NAME_x,LABEL_x,NAME_y,TYPE,LENGTH,LABEL_y,Source_URL,NAME_2
DISTNAME,District Name,DISTNAME,Character,75,District Name,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTNAME
DISTRICT,District Number,DISTRICT,Character,6,District Number,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTRICT
DPSTKIDR,Teacher to Student Ratio,DPSTKIDR,Numeric,8,District 2023 Staff: Teacher Student Ratio,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstaff.html,DPSTKIDR
DPETALLC,All Students Count in district,DPETALLC,Numeric,8,District 2023 Student Membership: All Students Count,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETALLC
DPETBLAP,African American Student Percent,DPETBLAP,Numeric,8,District 2023 Student Membership: African American Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETBLAP
DPETINDP,American Indian Student Percent,DPETINDP,Numeric,8,District 2023 Student Membership: American Indian Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETINDP
DPETASIP,Asian American Student Percent,DPETASIP,Numeric,8,District 2023 Student Membership: Asian Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETASIP
DPETHISP,Hispanic Student Percent,DPETHISP,Numeric,8,District 2023 Student Membership: Hispanic Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETHISP
DPETPCIP,Pacific Islander Student Percent,DPETPCIP,Numeric,8,District 2023 Student Membership: Pacific Islander Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETPCIP
DPETTWOP,Two or More Races Student Percent,DPETTWOP,Numeric,8,District 2023 Student Membership: Two or More Races Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETTWOP
DPETWHIP,White Student Percent,DPETWHIP,Numeric,8,District 2023 Student Membership: White Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETWHIP
DPETECOP,Economically Disadvantaged Student Percent,DPETECOP,Numeric,8,District 2023 Student Membership: Econ Disadv Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETECOP
DPETSPEP,Special Education Student Percent,DPETSPEP,Numeric,8,District 2023 Student Membership: Special Ed Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETSPEP
DPETGIFP,Gifted & Talented Student Percent,DPETGIFP,Numeric,8,District 2023 Student Membership: Gifted & Talented Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETGIFP
DPETIMMP,Immigrant Student Percent,DPETIMMP,Numeric,8,District 2023 Student Membership: Immigrant Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETIMMP
DPETBILP,Bilingual & ESL Student Percent,DPETBILP,Numeric,8,District 2023 Student Membership: Bilingual/ESL Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dstud.html,DPETBILP
DA0GR23R,All Student Graduation Rate ,DA0GR22R,Numeric,8,District 2022 Graduates: All Students Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DA0GR23R
DB0GR23R,African American Student Graduation Rate,DB0GR22R,Numeric,8,District 2022 Graduates: African American Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DB0GR23R
DI0GR23R,American Indian Student Graduation Rate,DI0GR22R,Numeric,8,District 2022 Graduates: American Indian Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DI0GR23R
D30GR23R,Asian American Student Graduation Rate,D30GR22R,Numeric,8,District 2022 Graduates: Asian Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,D30GR23R
DH0GR23R,Hispanic Student Graduation Rate,DH0GR22R,Numeric,8,District 2022 Graduates: Hispanic Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DH0GR23R
D40GR23R,Pacific Islander Student Graduation Rate,D40GR22R,Numeric,8,District 2022 Graduates: Pacific Islander Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,D40GR23R
D20GR23R,Two or More Races Student Graduation Rate,D20GR22R,Numeric,8,District 2022 Graduates: Two or More Races Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,D20GR23R
DW0GR23R,White Student Graduation Rate,DW0GR22R,Numeric,8,District 2022 Graduates: White Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DW0GR23R
DE0GR23R,Economically Disadvantaged Student Graduation Rate,DE0GR22R,Numeric,8,District 2022 Graduates: Econ Disadv Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DE0GR23R
DS0GR23R,Special Education Student Graduation Rate,DS0GR22R,Numeric,8,District 2022 Graduates: Special Ed Student Group %,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad.html,DS0GR23R
DA0GP23R,Percent of Graduates who are CCMR (College_Career_Military_Ready),DA0GP21R,Numeric,8,"District 2021 College, Career, & Military Ready Graduates: All Students Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/dgrad1.html,DA0GP23R
